corpus_index,source,paper_id,title,year,doi,has_abstract
1,semantic_scholar,ae1fe10973e99b8eba001265867af19e47dd9bbf,Leveraging blockchain-integrated explainable artificial intelligence (XAI) for ethical and personalized healthcare decision-making: a framework for secure data sharing and enhanced patient trust,2025,10.1007/s11227-025-07844-0,False
2,semantic_scholar,aa33fb89ceef2e25445cbcbf65cba2ead713ce38,A review of Explainable Artificial Intelligence in healthcare,2024,10.1016/j.compeleceng.2024.109370,False
3,semantic_scholar,03a9540aa71ee8921d7656e0a78eb08a64f68a94,Towards Transparent Healthcare: Advancing Local Explanation Methods in Explainable Artificial Intelligence,2024,10.3390/bioengineering11040369,True
4,semantic_scholar,6cc7bcd5f0a3fc408c5f4fa97fe638ef03dd7fab,Synergizing advanced algorithm of explainable artificial intelligence with hybrid model for enhanced brain tumor detection in healthcare,2025,10.1038/s41598-025-07524-2,True
5,semantic_scholar,3b54c7037005fbb4e827e8787a024dd18e0dd619,Application of explainable artificial intelligence for healthcare: A systematic review of the last decade (2011-2022),2022,10.1016/j.cmpb.2022.107161,True
6,semantic_scholar,bc2efacd0095481378da598b930c1ea8abcb404c,"A survey of explainable artificial intelligence in healthcare: Concepts, applications, and challenges",2024,10.1016/j.imu.2024.101587,False
7,semantic_scholar,747ce5b1d0178cb08dcf48e43f738f1476876ed5,Explainable Artificial Intelligence (XAI): Concepts and Challenges in Healthcare,2023,10.3390/ai4030034,True
8,semantic_scholar,a7cba054110883abe703bb759e869e297e90c7f4,The enlightening role of explainable artificial intelligence in medical & healthcare domains: A systematic literature review,2023,10.1016/j.compbiomed.2023.107555,True
9,semantic_scholar,e78cb101db209a389485792a06c3ec4e86ccc1c8,"A Review on Explainable Artificial Intelligence for Healthcare: Why, How, and When?",2023,10.1109/TAI.2023.3266418,True
10,semantic_scholar,f975e61108df93736dc63e50b4a132b7023b0ccd,Essential properties and explanation effectiveness of explainable artificial intelligence in healthcare: A systematic review,2023,10.1016/j.heliyon.2023.e16110,True
11,semantic_scholar,20c02c51420a69ae39b74d8d73148417819dacc1,Interpreting Black-Box Models: A Review on Explainable Artificial Intelligence,2023,10.1007/s12559-023-10179-8,True
12,semantic_scholar,1d5831e7b535d4a26efcc730c92bf6e964d602ba,Explainable Artificial Intelligence (XAI) in Healthcare: Enhancing Transparency and Trust,2024,10.36948/ijfmr.2024.v06i06.30010,True
13,semantic_scholar,946485ed9eba9af9528ef9bbc5ccac97346f12f0,A Novel Approach of Brain-Computer Interfacing (BCI) and Grad-CAM Based Explainable Artificial Intelligence: Use Case Scenario for Smart Healthcare.,2024,10.1016/j.jneumeth.2024.110159,True
14,semantic_scholar,ff4956abc7d5afbe5f9ac68f3c536567c26773c2,"A Systematic Review of Trustworthy and Explainable Artificial Intelligence in Healthcare: Assessment of Quality, Bias Risk, and Data Fusion",2023,10.1016/j.inffus.2023.03.008,False
15,semantic_scholar,068186a0da96ce2c1437a971d08817dd54980116,Explainable Artificial Intelligence in Healthcare,2024,10.36948/ijfmr.2024.v06i02.18735,True
16,semantic_scholar,a1b5e4b4a430058e33498e4d842734344d1fb7f9,The role of explainable artificial intelligence in disease prediction: a systematic literature review and future research directions,2025,10.1186/s12911-025-02944-6,True
