gap_id,paper_id,title,evidence_type,evidence_text,is_direct_quote
GAP-01,fb4b16bb22b8898c118412f32fad5601741fb05e,A scoping review of explainable artificial intelligence in sports science,explicit future work,"To increase real-world impact, future work should explore comparative evaluations of XAI techniques, domain-specific explanation frameworks, and user-centered approaches that align with the needs of coaches, athletes, and analysts.",True
GAP-01,ac445ef80fc8f5a219d32706bc79d5f634d67d92,A Survey of the Application of Explainable Artificial Intelligence in Biomedical Informatics,explicit limitation,"Through a systematic analysis of 43 peer-reviewed articles, we examine current trends, as well as the strengths and limitations of methodologies currently used in real-world healthcare settings.",True
GAP-01,05aae448e22849d56418fefb06ca810836e27a69,Trustworthy deep learning for malaria diagnosis using explainable artificial intelligence,explicit limitation,"The proposed AI-based diagnostic framework thus demonstrates high accuracy, interpretability, and generalization, representing a scalable solution for malaria detection in resource-limited healthcare settings.",True
GAP-01,2410.18725,AI Readiness in Healthcare through Storytelling XAI,explicit limitation,"Despite this trend, the adoption of AI in real-world healthcare is still limited.",True
GAP-01,2504.19027,DiCE-Extended: A Robust Approach to Counterfactual Explanations in Machine Learning,explicit future work,Future work could explore adaptive optimization techniques and domain-specific constraints to further enhance CF generation in real-world scenarios,True
GAP-01,2502.02618,Deep Learning-Based Facial Expression Recognition for the Elderly: A Systematic Review,explicit limitation,"However, existing datasets often lack diversity in age representation, and real-world deployment remains limited.",True
GAP-01,2502.02618,Deep Learning-Based Facial Expression Recognition for the Elderly: A Systematic Review,explicit future work,We conclude by offering recommendations for future research to bridge the gap between academic progress and real-world implementation in elderly care.,True
GAP-02,6cc7bcd5f0a3fc408c5f4fa97fe638ef03dd7fab,Synergizing advanced algorithm of explainable artificial intelligence with hybrid model for enhanced brain tumor detection in healthcare,explicit limitation,"As understanding reasoning behind their predictions is still a great challenge for the healthcare professionals and raised a great concern about their trustworthiness, interpretability and transparency in clinical settings.",True
GAP-02,3b54c7037005fbb4e827e8787a024dd18e0dd619,Application of explainable artificial intelligence for healthcare: A systematic review of the last decade (2011-2022),explicit limitation,"This lack of trust remains the main reason for their low use in practice, especially in healthcare.",True
GAP-02,747ce5b1d0178cb08dcf48e43f738f1476876ed5,Explainable Artificial Intelligence (XAI): Concepts and Challenges in Healthcare,explicit limitation,"In this narrative review, we will have a look at some central concepts in XAI, describe several challenges around XAI in healthcare, and discuss whether it can really help healthcare to advance, for example, by increasing understanding and trust.",True
GAP-02,747ce5b1d0178cb08dcf48e43f738f1476876ed5,Explainable Artificial Intelligence (XAI): Concepts and Challenges in Healthcare,explicit future work,"Finally, alternatives to increase trust in AI are discussed, as well as future research possibilities in the area of XAI.",True
GAP-02,f975e61108df93736dc63e50b4a132b7023b0ccd,Essential properties and explanation effectiveness of explainable artificial intelligence in healthcare: A systematic review,explicit limitation,Conclusion XAI research should address the lack of a comprehensive and agreed-upon framework for explaining XAI and standardized approaches for evaluating the effectiveness of the explanation that XAI provides to diverse AI stakeholders.,True
GAP-02,1d5831e7b535d4a26efcc730c92bf6e964d602ba,Explainable Artificial Intelligence (XAI) in Healthcare: Enhancing Transparency and Trust,explicit limitation,"However, most of these models are per se opaque-that is, the so-called ""black-box"" problem-there are still great challenges in areas such as transparency, trust, and ethical applications in a clinical setting.",True
GAP-02,1d5831e7b535d4a26efcc730c92bf6e964d602ba,Explainable Artificial Intelligence (XAI) in Healthcare: Enhancing Transparency and Trust,explicit limitation,This lack of interpretability can stand in the way of acceptance or integration for AI technologies when issues of understanding and accountability are relevant.,True
GAP-02,a1b5e4b4a430058e33498e4d842734344d1fb7f9,The role of explainable artificial intelligence in disease prediction: a systematic literature review and future research directions,explicit limitation,"The review highlights key gaps, including limited dataset diversity, model complexity, and reliance on single data types, emphasizing the need for greater interpretability and data integration.",True
GAP-02,47ead100d2f049e0b32fd1a449e23d10176a8c38,Explainable Artificial Intelligence in Neuroimaging of Alzheimer’s Disease,explicit limitation,"However, the complexity and lack of interpretability of these models limit their clinical applicability.",True
GAP-02,47ead100d2f049e0b32fd1a449e23d10176a8c38,Explainable Artificial Intelligence in Neuroimaging of Alzheimer’s Disease,explicit limitation,"Explainable Artificial Intelligence (XAI) addresses this challenge by providing insights into model decision-making, enhancing transparency, and fostering trust in AI-driven diagnostics.",True
GAP-02,682d9147abcd9a7b1bd536dcdbf2319a75529c54,Explainable Artificial Intelligence for Predictive Modeling in Healthcare,explicit limitation,"Although many of these artificial intelligence and machine learning algorithms can achieve remarkably high performance, it is often difficult to be completely adopted in practical clinical environments due to the lack of explainability in some of these algorithms.",True
GAP-02,b89fc2186636ef33f09a1a34315227286a70197b,A Literature Review on Applications of Explainable Artificial Intelligence (XAI),explicit limitation,"Ultimately, this document underscores the critical challenges for XAI in fostering user trust, enhancing decision-making processes, and ensuring that AI technologies are utilized responsibly and ethically across various applications, paving the way for a more transparent and accountable AI landscape.",True
GAP-02,a4b0744a93fee40f1e16904af16e06294eff0dcd,Explainable artificial intelligence (XAI): from inherent explainability to large language models,explicit limitation,"This limitation hinders trust in machine learning systems and causes a general reluctance towards their adoption in practical applications, particularly in mission-critical domains like healthcare and autonomous driving.",True
GAP-02,421cebc60f864bdfa680bd1021b22c608b480650,Explainable Artificial Intelligence: A Perspective on Drug Discovery,explicit limitation,"Finally, we discuss the challenges in deploying XAI methodologies, focusing on critical research directions to improve transparency and interpretability in AI-driven drug discovery.",True
GAP-02,cf7bd780cc164e913ca9a40753fdb7169bbf826a,A Review of Explainable Artificial Intelligence from the Perspectives of Challenges and Opportunities,explicit limitation,"Its black-box (sub-symbolic) nature allows AI to compute prediction without explaining the rationale to the end user, resulting in lack of transparency between human and machine.",True
GAP-02,cf7bd780cc164e913ca9a40753fdb7169bbf826a,A Review of Explainable Artificial Intelligence from the Perspectives of Challenges and Opportunities,explicit limitation,"Special attention is given to various challenges of XAI, such as no universal definition, trade-off between accuracy and interpretability, and lack of standardized evaluation metrics.",True
GAP-02,cf7bd780cc164e913ca9a40753fdb7169bbf826a,A Review of Explainable Artificial Intelligence from the Perspectives of Challenges and Opportunities,explicit future work,"We conclude by outlining the future research directions of human-centric design, interactive explanation, and standardized evaluation frameworks.",True
GAP-02,449440154af5b6cadc5fc28c3b76dcb32b193010,Developing a Transparent Anaemia Prediction Model Empowered With Explainable Artificial Intelligence,explicit limitation,"In this research work, a transparent anaemia prediction model (white box) empowered by explainable AI techniques is proposed to address the limitations of black boxes in terms of transparency.",True
GAP-02,52053dc5883fdc2259b210277fd2f0cfb8363cbf,Development of explainable artificial intelligence based machine learning model for predicting 30-day hospital readmission after renal transplantation,explicit limitation,"While machine learning approaches offer promising solutions for risk prediction, their clinical application often lacks interpretability.",True
GAP-02,3f0ec5aacbe55fa4535a522b747e5211447f8ffc,Explainable artificial intelligence for Healthcare applications using Random Forest Classifier with LIME and SHAP,explicit limitation,The origin of explainable AI (xAI) is coined from these challenges and recently gained more attention by the researchers by adding explainability comprehensively in traditional AI systems.,True
GAP-02,7fe0c1515d951bbe77e5c12eb436f5a91fc5931f,A Deep Learning and Explainable Artificial Intelligence based Scheme for Breast Cancer Detection,explicit limitation,"However, their internal mechanisms sometimes resemble opaque entities, leading to challenges in understanding and placing trust in their decision-making processes.",True
